,N10_bins,N10_measured,N10_model,N20_bins,N20_measured,N20_model
32,9140.791137695312,0.0,0.0001246815,13136.78034362793,0.0,9.767229e-05
33,9152.676151275635,0.0,0.00011878024,13156.403423213958,0.0,9.767568e-05
34,9164.561164855957,0.0,0.00011392825,13176.026502799989,0.0,9.768518e-05
35,9176.44617843628,0.0,0.00011001324,13195.649582386017,0.0,9.7703574e-05
36,9188.331192016602,0.0,0.000106905805,13215.272661972045,0.0,9.773566e-05
37,9200.216205596924,0.0,0.000104481405,13234.895741558075,0.0,9.778968e-05
38,9212.101219177246,0.0,0.00010261994,13254.518821144104,0.0,9.7877964e-05
39,9223.986232757568,0.0,0.000101214806,13274.141900730134,0.0,9.8019365e-05
40,9235.87124633789,0.0,0.000100171215,13293.764980316162,0.0,9.824082e-05
41,9247.756259918213,0.0,9.940835e-05,13313.38805990219,0.0,9.858063e-05
42,9259.641273498535,0.0,9.8859666e-05,13333.01113948822,0.0,9.909167e-05
43,9271.526287078857,0.0,9.847087e-05,13352.634219074249,0.0,9.984394e-05
44,9283.41130065918,0.0,9.819996e-05,13372.257298660279,0.0,0.00010092917
45,9295.296314239502,0.0,9.801428e-05,13391.880378246307,0.0,0.00010246048
46,9307.181327819824,0.0,9.788853e-05,13411.503457832336,0.0,0.000104577026
47,9319.066341400146,0.0,9.780527e-05,13431.126537418366,0.0,0.000107440144
48,9330.951354980469,0.0,9.77505e-05,13450.749617004394,0.0,0.00011122715
49,9342.836368560791,0.0,9.771513e-05,13470.372696590424,0.0,0.00011612797
50,9354.721382141113,0.0,9.7692784e-05,13489.995776176453,0.0,0.00012232865
51,9366.606395721436,0.0,9.7678785e-05,13509.618855762481,0.0,0.00012998925
52,9378.491409301758,0.0,9.766994e-05,13529.241935348511,0.0,0.00013923799
53,9390.37642288208,0.0,9.766478e-05,13548.86501493454,0.0,0.00015012316
54,9402.261436462402,0.0,9.766183e-05,13568.48809452057,0.00025,0.0001626189
55,9414.146450042725,0.0,9.765987e-05,13588.111174106598,0.0,0.00017658608
56,9426.031463623047,0.0,9.7658645e-05,13607.734253692626,0.0,0.00019174659
57,9437.91647720337,0.0,9.765815e-05,13627.357333278656,0.0,0.00020772597
58,9449.801490783691,0.0,9.76579e-05,13646.980412864685,0.0,0.00022398928
59,9461.686504364014,0.0,9.765766e-05,13666.603492450715,0.0,0.00023994179
60,9473.571517944336,0.0,9.765742e-05,13686.226572036743,0.0,0.00025491018
61,9485.456531524658,0.0,9.765768e-05,13705.849651622771,0.0,0.0002681735
62,9497.34154510498,0.0,9.7657445e-05,13725.472731208802,0.0,0.00027909514
63,9509.226558685303,0.0,9.765747e-05,13745.09581079483,0.0,0.00028710367
64,9521.111572265625,0.0,9.765752e-05,13764.71889038086,0.00025,0.00029173258
65,9532.996585845947,0.0,9.7657605e-05,13784.341969966888,0.0,0.00029276463
66,9544.88159942627,0.0,9.765776e-05,13803.965049552917,0.0,0.00029010038
