,lbfcs_count,n
254,1.7185216,26
255,1.7210946,26
256,1.6849105,26
257,0.0,26
258,1.7544639,26
259,1.7420979,26
260,1.8172585,27
261,0.0,27
262,1.8745705,27
263,1.9746225,27
264,1.8387314,27
265,0.0,27
266,0.0,27
267,1.9948123,27
268,1.7923236,27
269,0.0,27
270,0.0,28
271,0.0,28
272,1.9025,28
273,0.0,28
274,0.0,28
275,0.0,28
276,2.3996863,28
277,1.8311645,28
278,2.051235,28
279,0.0,28
280,0.0,29
281,0.0,29
282,0.0,29
283,1.9504815,29
284,0.0,29
285,0.0,29
286,0.0,29
287,0.0,29
288,0.0,29
289,2.174394,29
290,0.0,30
291,0.0,30
292,0.0,30
293,0.0,30
294,0.0,30
295,0.0,30
296,0.0,30
297,0.0,30
298,0.0,30
299,0.0,30
