,true_n,n,posterior
404,15,14,0.20709641
405,16,14,0.0031343114
406,17,14,4.311508e-09
407,18,14,0.0
408,19,14,0.0
409,20,14,0.0
410,21,14,0.0
411,22,14,0.0
412,23,14,0.0
413,24,14,0.0
414,25,14,0.0
415,26,14,0.0
416,27,14,0.0
417,28,14,0.0
418,29,14,0.0
419,30,14,0.0
420,1,15,1.2940589e-19
421,2,15,3.4875445e-21
422,3,15,4.908232e-17
423,4,15,4.3769318e-16
424,5,15,8.2066615e-18
425,6,15,2.9466274e-20
426,7,15,7.637917e-30
427,8,15,4.2754502e-13
428,9,15,2.1441423e-18
429,10,15,2.470088e-10
430,11,15,9.7087195e-06
431,12,15,0.0006052385
432,13,15,0.074112974
433,14,15,0.12402173
434,15,15,0.52504885
435,16,15,0.25422686
436,17,15,0.014371482
437,18,15,8.920341e-10
438,19,15,3.2284307e-11
439,20,15,0.0
440,21,15,0.0
441,22,15,0.0
442,23,15,0.0
443,24,15,0.0
444,25,15,0.0
445,26,15,0.0
446,27,15,0.0
447,28,15,0.0
448,29,15,0.0
449,30,15,0.0
450,1,16,1.0529096e-19
451,2,16,2.7865495e-21
452,3,16,2.8428854e-17
453,4,16,2.1310408e-18
454,5,16,4.826488e-17
455,6,16,1.0382264e-18
456,7,16,2.849788e-26
457,8,16,1.5139156e-17
458,9,16,7.0857925e-12
459,10,16,5.4772613e-08
460,11,16,2.4311234e-05
461,12,16,0.0003305149
462,13,16,0.0018144113
463,14,16,0.037724625
464,15,16,0.10707881
465,16,16,0.27579957
466,17,16,0.15622778
467,18,16,0.011258763
468,19,16,0.03346911
469,20,16,3.484399e-21
470,21,16,0.0
471,22,16,0.0
472,23,16,0.0
473,24,16,0.0
474,25,16,0.0
475,26,16,0.0
476,27,16,0.0
477,28,16,0.0
478,29,16,0.0
479,30,16,0.0
480,1,17,9.790136e-20
481,2,17,2.1385844e-21
482,3,17,2.8491998e-17
483,4,17,1.7598426e-15
484,5,17,1.9985887e-16
485,6,17,1.4414598e-17
486,7,17,1.5758907e-23
487,8,17,4.5885087e-32
488,9,17,4.8401668e-14
489,10,17,1.6181175e-09
490,11,17,3.6660683e-06
491,12,17,6.5310414e-05
492,13,17,0.00040463795
493,14,17,0.0029016784
494,15,17,0.15337346
495,16,17,0.37467888
496,17,17,0.35531366
497,18,17,0.16690868
498,19,17,0.11943247
499,20,17,0.00021482934
500,21,17,7.929016e-17
501,22,17,0.0
502,23,17,0.0
503,24,17,0.0
504,25,17,0.0
505,26,17,0.0
506,27,17,0.0
507,28,17,0.0
