,trace,fit,frames
260,22218.765625,22251.352,260
261,22085.458984375,22251.352,261
262,21026.95703125,21042.555,262
263,21154.97265625,21042.555,263
264,21249.255859375,21042.555,264
265,20997.001953125,21042.555,265
266,21027.890625,21042.555,266
267,21194.203125,21042.555,267
268,21082.099609375,21042.555,268
269,19860.2265625,19833.758,269
270,19447.474609375,19833.758,270
271,19702.4296875,19833.758,271
272,19851.03125,19833.758,272
273,19975.98046875,19833.758,273
274,19729.12890625,19833.758,274
275,20726.62890625,21042.555,275
276,19913.51953125,19833.758,276
277,19892.69921875,19833.758,277
278,21135.203125,21042.555,278
279,21730.48828125,22251.352,279
280,22369.677734375,22251.352,280
281,21213.150390625,21042.555,281
282,21110.671875,21042.555,282
283,19757.275390625,19833.758,283
284,20519.80078125,21042.555,284
285,20079.05859375,19833.758,285
286,19747.662109375,19833.758,286
287,21830.515625,22251.352,287
288,22223.287109375,22251.352,288
289,22071.34765625,22251.352,289
290,20970.16796875,21042.555,290
291,22374.947265625,22251.352,291
292,23358.552734375,23460.148,292
293,23839.21875,23460.148,293
294,23370.30078125,23460.148,294
295,23689.072265625,23460.148,295
296,23298.900390625,23460.148,296
297,24499.478515625,24668.943,297
298,24488.8359375,24668.943,298
299,24637.306640625,24668.943,299
300,25055.302734375,24668.943,300
301,24569.5546875,24668.943,301
302,24799.8359375,24668.943,302
303,23588.447265625,23460.148,303
304,23800.626953125,23460.148,304
305,25153.4375,24668.943,305
306,25673.236328125,25877.738,306
307,25988.90625,25877.738,307
308,25540.64453125,25877.738,308
309,24806.34375,24668.943,309
310,24555.517578125,24668.943,310
311,24380.3828125,24668.943,311
312,24831.82421875,24668.943,312
313,24687.404296875,24668.943,313
314,24637.125,24668.943,314
315,24646.29296875,24668.943,315
316,24722.732421875,24668.943,316
317,24676.4375,24668.943,317
318,24635.697265625,24668.943,318
319,23783.52734375,23460.148,319
320,25170.173828125,24668.943,320
321,23388.1171875,23460.148,321
322,23199.166015625,23460.148,322
323,23363.828125,23460.148,323
324,21862.9765625,22251.352,324
325,21024.87890625,21042.555,325
326,20836.54296875,21042.555,326
327,21177.2109375,21042.555,327
328,21085.9296875,21042.555,328
329,22236.9375,22251.352,329
330,22417.2421875,22251.352,330
331,22013.564453125,22251.352,331
332,21388.162109375,21042.555,332
333,19857.21875,19833.758,333
334,19484.98828125,19833.758,334
335,19797.50390625,19833.758,335
336,18730.244140625,18624.963,336
337,18596.2890625,18624.963,337
338,16043.1259765625,16207.371,338
339,17446.5,17416.168,339
340,17175.322265625,17416.168,340
341,16240.5205078125,16207.371,341
342,18627.68359375,18624.963,342
343,21071.9765625,21042.555,343
344,20119.25,19833.758,344
345,21081.62890625,21042.555,345
346,20740.95703125,21042.555,346
347,22556.92578125,22251.352,347
348,22249.40234375,22251.352,348
349,21095.7265625,21042.555,349
350,20919.958984375,21042.555,350
351,22060.236328125,22251.352,351
352,23634.783203125,23460.148,352
353,21156.49609375,21042.555,353
354,20943.78515625,21042.555,354
355,19916.34375,19833.758,355
356,20008.318359375,19833.758,356
357,19651.87890625,19833.758,357
358,19746.955078125,19833.758,358
359,20217.5703125,19833.758,359
360,20017.47265625,19833.758,360
361,21347.302734375,21042.555,361
362,21065.890625,21042.555,362
363,21043.0859375,21042.555,363
364,20533.09375,21042.555,364
365,22729.369140625,22251.352,365
366,22268.021484375,22251.352,366
367,20976.541015625,21042.555,367
368,22221.6484375,22251.352,368
369,22401.67578125,22251.352,369
370,21755.583984375,22251.352,370
371,22028.8203125,22251.352,371
372,22377.30859375,22251.352,372
373,22580.046875,22251.352,373
374,22391.140625,22251.352,374
375,24572.48046875,24668.943,375
376,23805.099609375,23460.148,376
377,24751.71484375,24668.943,377
378,25755.9140625,25877.738,378
379,25837.572265625,25877.738,379
380,25859.76953125,25877.738,380
381,25663.5390625,25877.738,381
382,24684.142578125,24668.943,382
383,25759.228515625,25877.738,383
384,24626.466796875,24668.943,384
385,24710.5,24668.943,385
386,24755.791015625,24668.943,386
387,24693.759765625,24668.943,387
388,25880.3515625,25877.738,388
389,24682.181640625,24668.943,389
390,24822.95703125,24668.943,390
391,23567.0703125,23460.148,391
392,22585.908203125,22251.352,392
393,22272.345703125,22251.352,393
394,22167.076171875,22251.352,394
395,23459.66015625,23460.148,395
396,23135.177734375,23460.148,396
397,24703.583984375,24668.943,397
398,23838.15234375,23460.148,398
399,20992.703125,21042.555,399
400,20875.12109375,21042.555,400
401,21106.759765625,21042.555,401
402,20971.2578125,21042.555,402
403,20845.36328125,21042.555,403
404,18433.20703125,18624.963,404
405,17477.728515625,17416.168,405
406,17490.59765625,17416.168,406
407,18414.0625,18624.963,407
408,18620.890625,18624.963,408
409,17351.6328125,17416.168,409
410,17592.16015625,17416.168,410
411,18570.251953125,18624.963,411
412,18832.7109375,18624.963,412
413,17215.765625,17416.168,413
414,17670.91015625,17416.168,414
415,18704.18359375,18624.963,415
416,19734.8203125,19833.758,416
417,22309.482421875,22251.352,417
418,22971.74609375,23460.148,418
419,23731.75390625,23460.148,419
420,24473.666015625,24668.943,420
421,24572.421875,24668.943,421
422,24575.990234375,24668.943,422
423,24935.90234375,24668.943,423
424,23235.482421875,23460.148,424
425,23389.201171875,23460.148,425
426,23557.2734375,23460.148,426
427,23646.3515625,23460.148,427
428,23170.212890625,23460.148,428
429,23446.15625,23460.148,429
430,24450.634765625,24668.943,430
431,24721.947265625,24668.943,431
432,23312.669921875,23460.148,432
433,24446.236328125,24668.943,433
434,24810.73046875,24668.943,434
435,24522.63671875,24668.943,435
436,23658.056640625,23460.148,436
437,22169.1484375,22251.352,437
438,23101.984375,23460.148,438
439,23521.806640625,23460.148,439
440,22428.83203125,22251.352,440
441,23241.841796875,23460.148,441
442,24685.53125,24668.943,442
443,24719.822265625,24668.943,443
444,22099.603515625,22251.352,444
445,22150.439453125,22251.352,445
446,22124.287109375,22251.352,446
447,22090.796875,22251.352,447
448,21048.205078125,21042.555,448
449,20998.640625,21042.555,449
450,19663.84765625,19833.758,450
451,20762.7421875,21042.555,451
452,20988.302734375,21042.555,452
453,21175.791015625,21042.555,453
454,20770.208984375,21042.555,454
455,20816.67578125,21042.555,455
456,20770.408203125,21042.555,456
457,19731.587890625,19833.758,457
458,20045.46875,19833.758,458
459,19571.154296875,19833.758,459
460,19809.78125,19833.758,460
461,20111.171875,19833.758,461
462,20180.92578125,19833.758,462
463,17617.6015625,17416.168,463
464,18827.46484375,18624.963,464
465,18377.375,18624.963,465
466,19650.82421875,19833.758,466
467,20029.96875,19833.758,467
468,20092.265625,19833.758,468
469,17463.73828125,17416.168,469
470,17436.5078125,17416.168,470
471,17357.98828125,17416.168,471
472,17572.138671875,17416.168,472
473,17570.91015625,17416.168,473
474,17429.90234375,17416.168,474
475,12555.146484375,12580.982,475
476,12508.841796875,12580.982,476
477,12585.294921875,12580.982,477
478,12589.73828125,12580.982,478
479,13582.8154296875,13789.779,479
480,15236.8828125,14998.575,480
481,15327.4130859375,14998.575,481
482,16116.814453125,16207.371,482
483,15997.6943359375,16207.371,483
484,16332.357421875,16207.371,484
485,16244.1357421875,16207.371,485
486,21025.962890625,21042.555,486
487,20728.05859375,21042.555,487
488,21245.98828125,21042.555,488
489,22219.970703125,22251.352,489
490,22574.892578125,22251.352,490
491,22175.66015625,22251.352,491
492,23548.095703125,23460.148,492
493,22316.2265625,22251.352,493
494,22557.890625,22251.352,494
495,20857.2578125,21042.555,495
496,22208.603515625,22251.352,496
497,22006.884765625,22251.352,497
498,22332.64453125,22251.352,498
499,23853.21484375,23460.148,499
500,26033.072265625,25877.738,500
501,26176.927734375,25877.738,501
502,25815.6015625,25877.738,502
503,26883.658203125,27086.535,503
504,27034.32421875,27086.535,504
505,27515.92578125,27086.535,505
506,26841.05078125,27086.535,506
507,26767.9140625,27086.535,507
508,27009.8828125,27086.535,508
509,27039.857421875,27086.535,509
510,25582.74609375,25877.738,510
511,24655.66796875,24668.943,511
512,24649.763671875,24668.943,512
513,25040.01953125,24668.943,513
514,23231.171875,23460.148,514
515,25757.572265625,25877.738,515
516,24679.85546875,24668.943,516
517,25936.072265625,25877.738,517
518,25773.341796875,25877.738,518
519,25975.609375,25877.738,519
520,24823.0625,24668.943,520
521,26102.93359375,25877.738,521
522,25827.53125,25877.738,522
523,25888.81640625,25877.738,523
524,24897.578125,24668.943,524
525,24751.9453125,24668.943,525
526,24939.697265625,24668.943,526
527,25010.185546875,24668.943,527
528,23771.140625,23460.148,528
529,23330.279296875,23460.148,529
530,23617.64453125,23460.148,530
531,23478.38671875,23460.148,531
532,24505.89453125,24668.943,532
533,24461.580078125,24668.943,533
534,23434.09765625,23460.148,534
535,22269.1953125,22251.352,535
536,23401.701171875,23460.148,536
537,24690.568359375,24668.943,537
538,24401.662109375,24668.943,538
539,24606.85546875,24668.943,539
540,24883.771484375,24668.943,540
541,23702.49609375,23460.148,541
542,23369.880859375,23460.148,542
543,23188.1171875,23460.148,543
544,23513.349609375,23460.148,544
545,24435.15625,24668.943,545
546,24916.986328125,24668.943,546
547,24320.974609375,24668.943,547
548,24672.783203125,24668.943,548
549,24701.076171875,24668.943,549
550,24721.662109375,24668.943,550
551,24425.81640625,24668.943,551
552,23579.025390625,23460.148,552
553,24943.962890625,24668.943,553
554,23232.970703125,23460.148,554
555,23404.029296875,23460.148,555
556,23831.17578125,23460.148,556
557,21041.30078125,21042.555,557
558,20912.72265625,21042.555,558
559,20859.4609375,21042.555,559
560,21160.23046875,21042.555,560
561,20919.009765625,21042.555,561
562,21147.9140625,21042.555,562
563,21116.5703125,21042.555,563
564,20887.412109375,21042.555,564
565,20726.171875,21042.555,565
566,19831.705078125,19833.758,566
567,19912.64453125,19833.758,567
568,20759.021484375,21042.555,568
569,19825.669921875,19833.758,569
570,18564.93359375,18624.963,570
571,19814.51953125,19833.758,571
572,18870.99609375,18624.963,572
573,18856.828125,18624.963,573
574,17318.537109375,17416.168,574
575,16115.6083984375,16207.371,575
576,16384.29296875,16207.371,576
577,16245.8701171875,16207.371,577
578,15932.6787109375,16207.371,578
579,18612.966796875,18624.963,579
580,18541.1328125,18624.963,580
581,19919.08203125,19833.758,581
582,19922.0703125,19833.758,582
583,18720.265625,18624.963,583
584,18606.60546875,18624.963,584
585,18589.4375,18624.963,585
586,18573.048828125,18624.963,586
587,18613.662109375,18624.963,587
588,18445.88671875,18624.963,588
589,17234.900390625,17416.168,589
590,17682.296875,17416.168,590
591,16139.140625,16207.371,591
592,15924.091796875,16207.371,592
593,16217.9091796875,16207.371,593
594,16124.9365234375,16207.371,594
595,16091.017578125,16207.371,595
596,17656.380859375,17416.168,596
597,17656.01953125,17416.168,597
598,17565.43359375,17416.168,598
599,17696.84375,17416.168,599
600,18574.669921875,18624.963,600
601,20101.38671875,19833.758,601
602,18776.8671875,18624.963,602
603,17270.73828125,17416.168,603
604,17518.57421875,17416.168,604
605,17192.28515625,17416.168,605
606,17492.916015625,17416.168,606
607,16436.08203125,16207.371,607
608,16176.005859375,16207.371,608
609,17197.1875,17416.168,609
610,18419.34375,18624.963,610
611,18800.5859375,18624.963,611
612,18499.12890625,18624.963,612
613,19610.79296875,19833.758,613
614,19707.6015625,19833.758,614
615,21151.7734375,21042.555,615
616,18589.421875,18624.963,616
617,18584.720703125,18624.963,617
618,18525.978515625,18624.963,618
619,17217.015625,17416.168,619
620,17451.62109375,17416.168,620
621,17152.45703125,17416.168,621
622,17253.673828125,17416.168,622
623,17291.08203125,17416.168,623
624,17480.53515625,17416.168,624
625,17507.607421875,17416.168,625
626,17434.578125,17416.168,626
627,18542.7109375,18624.963,627
628,19551.88671875,19833.758,628
629,19934.5390625,19833.758,629
630,20093.86328125,19833.758,630
631,20005.380859375,19833.758,631
632,20062.9140625,19833.758,632
633,19914.94921875,19833.758,633
634,19813.142578125,19833.758,634
635,19788.8046875,19833.758,635
636,21107.69921875,21042.555,636
637,22033.1484375,22251.352,637
638,23267.365234375,23460.148,638
639,21868.28125,22251.352,639
640,21934.623046875,22251.352,640
641,23482.09765625,23460.148,641
642,22497.46875,22251.352,642
643,22485.36328125,22251.352,643
644,23461.94140625,23460.148,644
645,25018.59375,24668.943,645
646,25615.783203125,25877.738,646
647,25111.42578125,24668.943,647
648,23961.060546875,23460.148,648
649,23465.626953125,23460.148,649
650,23491.21484375,23460.148,650
651,23582.841796875,23460.148,651
652,23464.328125,23460.148,652
653,22179.431640625,22251.352,653
654,22212.384765625,22251.352,654
655,23642.10546875,23460.148,655
656,23243.099609375,23460.148,656
657,24435.47265625,24668.943,657
658,23545.685546875,23460.148,658
659,24490.787109375,24668.943,659
660,23327.9140625,23460.148,660
661,20901.484375,21042.555,661
662,20896.04296875,21042.555,662
663,20897.48828125,21042.555,663
664,20905.15234375,21042.555,664
665,20831.982421875,21042.555,665
666,23503.875,23460.148,666
667,23575.69921875,23460.148,667
668,23068.873046875,23460.148,668
669,23940.548828125,23460.148,669
670,22447.765625,22251.352,670
671,22155.65625,22251.352,671
672,21871.056640625,22251.352,672
673,22191.67578125,22251.352,673
674,22116.15625,22251.352,674
675,21499.55859375,21042.555,675
676,21140.09765625,21042.555,676
677,21127.09375,21042.555,677
678,20667.17578125,21042.555,678
679,21215.03515625,21042.555,679
680,21130.046875,21042.555,680
681,21828.220703125,22251.352,681
682,22047.248046875,22251.352,682
683,18482.509765625,18624.963,683
684,18462.482421875,18624.963,684
685,18638.001953125,18624.963,685
686,20053.109375,19833.758,686
687,19655.931640625,19833.758,687
688,17605.34375,17416.168,688
689,17255.9765625,17416.168,689
690,16366.423828125,16207.371,690
691,16499.111328125,16207.371,691
692,18579.52734375,18624.963,692
693,19724.44921875,19833.758,693
694,17546.7421875,17416.168,694
695,16222.685546875,16207.371,695
696,17190.40234375,17416.168,696
697,19851.33984375,19833.758,697
698,17442.1484375,17416.168,698
699,18633.7578125,18624.963,699
700,19442.234375,19833.758,700
701,21044.69921875,21042.555,701
702,20625.369140625,21042.555,702
703,19689.4140625,19833.758,703
704,19454.66015625,19833.758,704
705,18955.607421875,18624.963,705
706,19717.3515625,19833.758,706
707,21105.15234375,21042.555,707
