,N1_good_bins,N1_good_measured,N1_good_model,N1_bad_bins,N1_bad_measured,N1_bad_model,N4_good_bins,N4_good_measured,N4_good_model,N4_bad_bins,N4_bad_measured,N4_bad_model
68,7644.28330078125,0.00225,0.0018073962,7644.28330078125,0.00225,0.0018073962,5935.460107421875,0.00025,0.0005880608,5935.460107421875,0.00025,0.0005880608
69,7648.6787109375,0.002,0.001961012,7648.6787109375,0.002,0.001961012,5938.51025390625,0.0,0.0005871646,5938.51025390625,0.0,0.0005871646
70,7653.07412109375,0.00425,0.002123006,7653.07412109375,0.00425,0.002123006,5941.560400390625,0.0,0.0005848481,5941.560400390625,0.0,0.0005848481
71,7657.46953125,0.00275,0.0022936217,7657.46953125,0.00275,0.0022936217,5944.610546875,0.00025,0.00058107,5944.610546875,0.00025,0.00058107
72,7661.86494140625,0.004,0.002471965,7661.86494140625,0.004,0.002471965,5947.660693359375,0.00025,0.0005761337,5947.660693359375,0.00025,0.0005761337
73,7666.2603515625,0.004,0.0026587334,7666.2603515625,0.004,0.0026587334,5950.71083984375,0.00025,0.000569831,5950.71083984375,0.00025,0.000569831
74,7670.65576171875,0.003,0.0028526802,7670.65576171875,0.003,0.0028526802,5953.760986328125,0.0,0.0005622156,5953.760986328125,0.0,0.0005622156
75,7675.051171875,0.0045,0.0030535813,7675.051171875,0.0045,0.0030535813,5956.8111328125,0.0005,0.0005535729,5956.8111328125,0.0005,0.0005535729
76,7679.44658203125,0.002,0.0032606702,7679.44658203125,0.002,0.0032606702,5959.861279296875,0.0,0.0005437913,5959.861279296875,0.0,0.0005437913
77,7683.8419921875,0.0024999999999999996,0.003473459,7683.8419921875,0.0024999999999999996,0.003473459,5962.91142578125,0.0,0.0005329673,5962.91142578125,0.0,0.0005329673
78,7688.23740234375,0.00325,0.003691828,7688.23740234375,0.00325,0.003691828,5965.961572265625,0.0,0.00052113394,5965.961572265625,0.0,0.00052113394
79,7692.6328125,0.00525,0.003913897,7692.6328125,0.00525,0.003913897,5969.01171875,0.00025,0.0005086043,5969.01171875,0.00025,0.0005086043
80,7697.02822265625,0.00425,0.004139167,7697.02822265625,0.00425,0.004139167,5972.061865234375,0.00025,0.0004952349,5972.061865234375,0.00025,0.0004952349
81,7701.4236328125,0.00425,0.0043665413,7701.4236328125,0.00425,0.0043665413,5975.11201171875,0.0005,0.00048119543,5975.11201171875,0.0005,0.00048119543
82,7705.81904296875,0.00475,0.0045944178,7705.81904296875,0.00475,0.0045944178,5978.162158203125,0.0007500000000000001,0.00046667608,5978.162158203125,0.0007500000000000001,0.00046667608
83,7710.214453125,0.006,0.0048229853,7710.214453125,0.006,0.0048229853,5981.2123046875,0.0,0.0004516893,5981.2123046875,0.0,0.0004516893
84,7714.60986328125,0.00575,0.0050502624,7714.60986328125,0.00575,0.0050502624,5984.262451171875,0.0005,0.00043633574,5984.262451171875,0.0005,0.00043633574
85,7719.0052734375,0.00725,0.0052746143,7719.0052734375,0.00725,0.0052746143,5987.31259765625,0.00025,0.0004206775,5987.31259765625,0.00025,0.0004206775
86,7723.40068359375,0.00325,0.005495048,7723.40068359375,0.00325,0.005495048,5990.362744140625,0.0,0.00040498478,5990.362744140625,0.0,0.00040498478
87,7727.79609375,0.00575,0.0057095233,7727.79609375,0.00575,0.0057095233,5993.412890625,0.00025,0.00038916522,5993.412890625,0.00025,0.00038916522
88,7732.19150390625,0.00425,0.0059183636,7732.19150390625,0.00425,0.0059183636,5996.463037109375,0.00025,0.00037335535,5996.463037109375,0.00025,0.00037335535
89,7736.5869140625,0.0045,0.006119281,7736.5869140625,0.0045,0.006119281,5999.51318359375,0.00025,0.00035774818,5999.51318359375,0.00025,0.00035774818
90,7740.98232421875,0.00525,0.0063105263,7740.98232421875,0.00525,0.0063105263,6002.563330078125,0.00025,0.0003422872,6002.563330078125,0.00025,0.0003422872
91,7745.377734375,0.0062499999999999995,0.00649115,7745.377734375,0.0062499999999999995,0.00649115,6005.6134765625,0.00025,0.0003270565,6005.6134765625,0.00025,0.0003270565
92,7749.77314453125,0.00375,0.0066590686,7749.77314453125,0.00375,0.0066590686,6008.663623046875,0.00025,0.0003122464,6008.663623046875,0.00025,0.0003122464
93,7754.1685546875,0.00575,0.0068155127,7754.1685546875,0.00575,0.0068155127,6011.71376953125,0.00025,0.00029777834,6011.71376953125,0.00025,0.00029777834
94,7758.56396484375,0.004,0.0069565102,7758.56396484375,0.004,0.0069565102,6014.763916015625,0.00025,0.00028374468,6014.763916015625,0.00025,0.00028374468
95,7762.959375,0.00375,0.007083075,7762.959375,0.00375,0.007083075,6017.8140625,0.0,0.00027026128,6017.8140625,0.0,0.00027026128
96,7767.35478515625,0.0065,0.0071930382,7767.35478515625,0.0065,0.0071930382,6020.864208984375,0.00025,0.000257273,6020.864208984375,0.00025,0.000257273
97,7771.7501953125,0.0065,0.00728505,7771.7501953125,0.0065,0.00728505,6023.91435546875,0.0,0.0002448461,6023.91435546875,0.0,0.0002448461
98,7776.14560546875,0.004749999999999999,0.0073610866,7776.14560546875,0.004749999999999999,0.0073610866,6026.964501953125,0.0,0.00023298193,6026.964501953125,0.0,0.00023298193
99,7780.541015625,0.0055,0.007417908,7780.541015625,0.0055,0.007417908,6030.0146484375,0.00025,0.00022176193,6030.0146484375,0.00025,0.00022176193
100,7784.93642578125,0.00675,0.007455506,7784.93642578125,0.00675,0.007455506,6033.064794921875,0.0,0.00021114065,6033.064794921875,0.0,0.00021114065
101,7789.3318359375,0.00675,0.0074749356,7789.3318359375,0.00675,0.0074749356,6036.11494140625,0.0,0.00020111402,6036.11494140625,0.0,0.00020111402
