,N10_bins,N10_measured,N10_model,N20_bins,N20_measured,N20_model
50,7700.073546409607,0.01725,0.014323135,7684.640743255615,0.017499999999999998,0.012139232
51,7704.693650150299,0.01175,0.014562333,7690.325735855103,0.013,0.012534837
52,7709.313753890991,0.016,0.0147616705,7696.01072845459,0.012000000000000002,0.012885531
53,7713.933857631683,0.01775,0.014919463,7701.695721054077,0.01525,0.013186822
54,7718.553961372376,0.018500000000000003,0.015032627,7707.380713653564,0.013749999999999998,0.013434814
55,7723.174065113068,0.01575,0.015105192,7713.065706253052,0.0165,0.013625628
56,7727.794168853759,0.020249999999999997,0.015131504,7718.750698852539,0.01175,0.013758546
57,7732.414272594452,0.0145,0.015112921,7724.435691452027,0.01475,0.013829976
58,7737.034376335144,0.01425,0.015049689,7730.120684051513,0.011500000000000002,0.013839539
59,7741.654480075837,0.014,0.014942342,7735.805676651001,0.012750000000000001,0.013787127
60,7746.274583816528,0.0165,0.014793553,7741.490669250488,0.010750000000000001,0.013673442
61,7750.89468755722,0.017249999999999998,0.014599498,7747.175661849976,0.015500000000000002,0.013499967
62,7755.514791297913,0.01825,0.014367045,7752.860654449463,0.0165,0.013267862
63,7760.134895038605,0.01575,0.014096436,7758.54564704895,0.012499999999999997,0.012983847
64,7764.754998779297,0.013250000000000001,0.013790101,7764.230639648437,0.013749999999999998,0.012647957
65,7769.375102519989,0.014750000000000001,0.013450505,7769.915632247925,0.01175,0.012265657
66,7773.995206260681,0.01475,0.013080486,7775.600624847412,0.01025,0.011841867
67,7778.6153100013735,0.01375,0.012683126,7781.2856174469,0.012250000000000002,0.011381751
68,7783.235413742065,0.016,0.012261593,7786.970610046386,0.01575,0.010890717
69,7787.855517482758,0.017,0.011819091,7792.655602645874,0.013,0.010374567
70,7792.47562122345,0.0105,0.011359074,7798.340595245361,0.0105,0.0098381005
71,7797.0957249641415,0.013,0.010884874,7804.025587844849,0.009,0.009289688
72,7801.715828704834,0.01375,0.010399736,7809.710580444336,0.01025,0.008732263
73,7806.335932445526,0.00875,0.0099072,7815.395573043823,0.01,0.008172088
74,7810.956036186219,0.009250000000000001,0.009410346,7821.08056564331,0.007,0.0076141744
75,7815.57613992691,0.009250000000000001,0.0089123,7826.765558242798,0.00675,0.0070632566
76,7820.196243667602,0.009750000000000002,0.008416063,7832.450550842285,0.006249999999999999,0.006523674
77,7824.816347408295,0.009,0.007924307,7838.135543441773,0.00525,0.0059988787
