,n_true,n_fit,posterior
423,4,15,0.0
424,5,15,1.4e-44
425,6,15,1.8579723e-29
426,7,15,4.3091223e-21
427,8,15,1.2550432e-16
428,9,15,8.492764e-12
429,10,15,5.8627116e-08
430,11,15,1.10230585e-05
431,12,15,0.0016859103
432,13,15,0.08745233
433,14,15,0.14492007
434,15,15,0.31141675
435,16,15,0.24281892
436,17,15,0.048798908
437,18,15,0.029043403
438,19,15,0.0015767997
439,20,15,2.8556204e-05
440,21,15,2.9842388e-06
441,22,15,1.5394827e-08
442,23,15,3.2866234e-13
443,24,15,1.0700345e-15
444,25,15,2.62535e-23
445,26,15,6.4968094e-26
446,27,15,8.624509e-21
447,28,15,6.7187244e-34
448,29,15,2.9848005e-36
449,30,15,3.411e-42
450,1,16,0.0
451,2,16,0.0
452,3,16,0.0
453,4,16,0.0
454,5,16,0.0
455,6,16,1.0939224e-34
456,7,16,1.3197957e-25
457,8,16,1.140572e-20
458,9,16,2.6119246e-15
459,10,16,1.0470778e-10
460,11,16,4.137689e-08
461,12,16,2.2977296e-05
462,13,16,0.010385567
463,14,16,0.027112216
464,15,16,0.2453444
465,16,16,0.3561769
466,17,16,0.13664445
467,18,16,0.0853083
468,19,16,0.040689223
469,20,16,0.0013398082
470,21,16,0.0006302608
471,22,16,3.7709233e-06
472,23,16,1.1483816e-09
473,24,16,7.201193e-12
474,25,16,2.8531438e-18
475,26,16,1.5851453e-19
476,27,16,1.2904343e-16
477,28,16,1.6396542e-28
478,29,16,1.008414e-30
479,30,16,4.330903e-39
480,1,17,0.0
481,2,17,0.0
482,3,17,0.0
483,4,17,0.0
484,5,17,0.0
485,6,17,3.79504e-40
486,7,17,2.3083816e-30
487,8,17,5.414975e-25
488,9,17,5.263299e-19
489,10,17,6.193896e-14
490,11,17,6.141636e-11
491,12,17,1.18410945e-07
492,13,17,0.00047005288
493,14,17,0.002187679
494,15,17,0.09654587
495,16,17,0.2882184
496,17,17,0.33132428
497,18,17,0.28351063
498,19,17,0.1626899
499,20,17,0.026630696
500,21,17,0.016550282
501,22,17,0.00028182595
502,23,17,4.8756913e-08
503,24,17,1.4066413e-08
504,25,17,2.2584697e-13
505,26,17,9.15666e-15
506,27,17,8.4455595e-11
507,28,17,3.4738914e-24
508,29,17,2.997245e-24
509,30,17,3.29362e-29
510,1,18,0.0
511,2,18,0.0
512,3,18,0.0
513,4,18,0.0
514,5,18,0.0
515,6,18,1e-45
516,7,18,1.6294996e-35
517,8,18,1.3585748e-29
518,9,18,4.022017e-23
519,10,18,3.011037e-17
520,11,18,5.2830516e-14
521,12,18,2.7983854e-10
522,13,18,9.210932e-06
523,14,18,5.7990448e-05
524,15,18,0.02467218
525,16,18,0.066743344
526,17,18,0.28366938
527,18,18,0.2949043
528,19,18,0.28211302
529,20,18,0.14566253
530,21,18,0.12036914
531,22,18,0.003979319
532,23,18,7.812467e-05
533,24,18,1.8305494e-06
534,25,18,2.274261e-11
535,26,18,3.76913e-12
536,27,18,5.939068e-08
537,28,18,5.487187e-19
538,29,18,4.684008e-22
539,30,18,2.0893988e-23
540,1,19,0.0
541,2,19,0.0
542,3,19,0.0
543,4,19,0.0
544,5,19,0.0
545,6,19,0.0
546,7,19,1.72676e-40
547,8,19,2.8150146e-34
548,9,19,2.525718e-27
549,10,19,5.8434292e-21
550,11,19,2.1421665e-17
551,12,19,2.87444e-13
552,13,19,6.073968e-08
553,14,19,8.765396e-07
554,15,19,0.002371808
555,16,19,0.0046725823
556,17,19,0.14076324
557,18,19,0.18092375
558,19,19,0.24245188
559,20,19,0.19238362
560,21,19,0.11690785
561,22,19,0.017724764
562,23,19,0.0011249719
563,24,19,0.00015151825
564,25,19,2.4745057e-07
565,26,19,2.369939e-08
566,27,19,8.136995e-06
567,28,19,1.3002883e-13
568,29,19,3.444035e-15
569,30,19,9.014052e-19
570,1,20,0.0
571,2,20,0.0
572,3,20,0.0
573,4,20,0.0
574,5,20,0.0
575,6,20,0.0
576,7,20,1e-45
577,8,20,3.048051e-39
578,9,20,8.4693945e-32
579,10,20,6.3368146e-25
580,11,20,4.8357948e-21
581,12,20,1.5956607e-16
582,13,20,3.339671e-10
583,14,20,3.7832817e-09
584,15,20,9.4221046e-05
585,16,20,0.0005957806
586,17,20,0.048330046
587,18,20,0.10262386
588,19,20,0.19623573
589,20,20,0.29029897
590,21,20,0.20480688
591,22,20,0.09907985
592,23,20,0.012978939
593,24,20,0.0043388074
594,25,20,6.9593166e-06
595,26,20,1.3298588e-06
596,27,20,1.0493761e-07
597,28,20,2.1162283e-10
598,29,20,8.592169e-12
599,30,20,6.6589114e-15
600,1,21,0.0
601,2,21,0.0
602,3,21,0.0
603,4,21,0.0
604,5,21,0.0
605,6,21,0.0
606,7,21,0.0
607,8,21,2.7e-44
608,9,21,1.95733e-36
609,10,21,4.8112827e-29
610,11,21,6.5838923e-25
611,12,21,7.36847e-20
612,13,21,6.1006235e-13
613,14,21,2.8428157e-11
614,15,21,2.7071633e-06
615,16,21,6.9987736e-06
616,17,21,0.0071189827
617,18,21,0.019949906
618,19,21,0.056231864
619,20,21,0.16110587
620,21,21,0.14938186
621,22,21,0.16692874
622,23,21,0.059694123
623,24,21,0.020360533
624,25,21,0.0012142474
625,26,21,0.00026411068
626,27,21,0.0043548727
627,28,21,2.990384e-08
628,29,21,1.1909702e-09
629,30,21,5.699384e-13
630,1,22,0.0
631,2,22,0.0
632,3,22,0.0
633,4,22,0.0
634,5,22,0.0
635,6,22,0.0
