,N4_trace_good,N4_fit_good,N4_trace_bad,N4_fit_bad,frames
236,9715,9433.476,6650,6807.3857,236
237,9909,9433.476,7008,6807.3857,237
238,9665,9433.476,6904,6807.3857,238
239,9464,9433.476,6915,6807.3857,239
240,9576,9433.476,6878,6807.3857,240
241,9498,9433.476,7032,6807.3857,241
242,9294,9433.476,6817,6807.3857,242
243,10357,10660.584,5995,5870.9434,243
244,10414,10660.584,5936,5870.9434,244
245,9674,9433.476,6397,6339.1646,245
246,9473,9433.476,6492,6339.1646,246
247,9497,9433.476,6340,6339.1646,247
248,9540,9433.476,6531,6339.1646,248
249,9544,9433.476,6323,6339.1646,249
250,9535,9433.476,6422,6339.1646,250
251,9448,9433.476,6342,6339.1646,251
252,8826,8206.367,6277,6339.1646,252
253,8407,8206.367,6491,6339.1646,253
254,8282,8206.367,6412,6339.1646,254
255,8287,8206.367,6208,6339.1646,255
256,8214,8206.367,6477,6339.1646,256
257,9009,9433.476,6399,6339.1646,257
258,9574,9433.476,6333,6339.1646,258
259,9684,9433.476,6335,6339.1646,259
260,9627,9433.476,6411,6339.1646,260
261,9586,9433.476,6452,6339.1646,261
262,9534,9433.476,6250,6339.1646,262
263,9812,9433.476,6366,6339.1646,263
264,9689,9433.476,6342,6339.1646,264
265,9691,9433.476,6955,6807.3857,265
266,9430,9433.476,6752,6807.3857,266
267,9758,9433.476,6786,6807.3857,267
268,9521,9433.476,6869,6807.3857,268
269,9802,9433.476,6756,6807.3857,269
270,9491,9433.476,6817,6807.3857,270
271,9811,9433.476,6974,6807.3857,271
272,9641,9433.476,6842,6807.3857,272
273,9528,9433.476,6933,6807.3857,273
274,9551,9433.476,6988,6807.3857,274
275,9355,9433.476,7389,7275.607,275
276,9447,9433.476,7217,7275.607,276
277,9477,9433.476,7271,7275.607,277
278,9676,9433.476,7427,7275.607,278
279,9566,9433.476,6887,6807.3857,279
280,9408,9433.476,6905,6807.3857,280
281,9765,9433.476,6876,6807.3857,281
282,8824,8206.367,6735,6807.3857,282
283,8158,8206.367,6796,6807.3857,283
284,8376,8206.367,6422,6339.1646,284
285,8337,8206.367,6398,6339.1646,285
286,8161,8206.367,6388,6339.1646,286
287,6998,6979.259,6387,6339.1646,287
288,7073,6979.259,6338,6339.1646,288
289,7482,6979.259,6384,6339.1646,289
290,8300,8206.367,6274,6339.1646,290
291,8223,8206.367,7367,7275.607,291
292,9137,9433.476,7396,7275.607,292
293,9134,9433.476,7424,7275.607,293
294,9580,9433.476,7294,7275.607,294
295,9670,9433.476,7266,7275.607,295
296,9536,9433.476,7159,7275.607,296
297,9403,9433.476,7117,7275.607,297
298,9432,9433.476,7368,7275.607,298
299,9506,9433.476,7381,7275.607,299
300,9101,9433.476,7298,7275.607,300
301,8291,8206.367,7241,7275.607,301
302,8303,8206.367,7413,7275.607,302
303,8077,8206.367,7162,7275.607,303
304,8649,8206.367,6835,6807.3857,304
305,9398,9433.476,6879,6807.3857,305
306,9517,9433.476,6563,6807.3857,306
307,9528,9433.476,6441,6807.3857,307
308,9593,9433.476,6568,6807.3857,308
309,9357,9433.476,6895,6807.3857,309
310,9453,9433.476,6922,6807.3857,310
311,9608,9433.476,6750,6807.3857,311
312,9258,9433.476,6731,6807.3857,312
313,9605,9433.476,6287,6339.1646,313
314,9591,9433.476,6397,6339.1646,314
315,9382,9433.476,6321,6339.1646,315
316,9369,9433.476,6538,6339.1646,316
317,9408,9433.476,6687,6807.3857,317
318,9527,9433.476,6771,6807.3857,318
319,9510,9433.476,6812,6807.3857,319
320,9375,9433.476,6869,6807.3857,320
321,9367,9433.476,6757,6807.3857,321
322,9412,9433.476,6703,6807.3857,322
323,9347,9433.476,6876,6807.3857,323
324,9451,9433.476,6912,6807.3857,324
325,9569,9433.476,7114,6807.3857,325
326,9507,9433.476,6972,6807.3857,326
327,8340,8206.367,6781,6807.3857,327
328,8332,8206.367,6921,6807.3857,328
329,8688,8206.367,6900,6807.3857,329
330,9406,9433.476,7424,7275.607,330
331,8378,8206.367,7370,7275.607,331
332,8159,8206.367,7306,7275.607,332
333,8146,8206.367,7355,7275.607,333
334,8391,8206.367,7539,7275.607,334
335,8230,8206.367,7446,7275.607,335
336,8436,8206.367,7426,7275.607,336
337,8274,8206.367,7405,7275.607,337
338,8033,8206.367,7294,7275.607,338
339,8309,8206.367,7365,7275.607,339
340,8183,8206.367,7345,7275.607,340
341,8638,8206.367,7463,7275.607,341
342,9375,9433.476,7384,7275.607,342
343,9305,9433.476,7477,7275.607,343
344,9462,9433.476,7365,7275.607,344
345,9671,9433.476,7435,7275.607,345
346,9696,9433.476,7420,7275.607,346
347,10689,10660.584,7415,7275.607,347
348,11221,10660.584,7327,7275.607,348
349,10791,10660.584,7187,7275.607,349
350,10922,10660.584,7237,7275.607,350
351,10898,10660.584,7283,7275.607,351
352,10798,10660.584,7234,7275.607,352
353,9364,9433.476,7241,7275.607,353
354,9279,9433.476,7235,7275.607,354
355,9507,9433.476,7434,7275.607,355
356,9668,9433.476,7221,7275.607,356
357,9556,9433.476,7222,7275.607,357
358,9419,9433.476,7215,7275.607,358
359,9434,9433.476,7394,7275.607,359
360,9704,9433.476,7378,7275.607,360
361,9572,9433.476,6791,6807.3857,361
362,9659,9433.476,7242,7275.607,362
