,qpaint_bins,qpaint_measured,qpaint_model,lbfcs_bins,lbfcs_measured,lbfcs_model
92,7938.28503036499,0.0012499999999999998,0.0008111995,9885.222291564942,0.0,0.00018768937
93,7944.0654191970825,0.0007499999999999999,0.00069749524,9897.487339401245,0.0,0.00021324056
94,7949.845808029175,0.00025,0.00059968256,9909.75238723755,0.00025,0.0002442818
95,7955.626196861267,0.0,0.0005157972,9922.017435073853,0.0,0.0002813811
96,7961.406585693359,0.00025,0.0004443036,9934.282482910156,0.0,0.00032513303
97,7967.186974525452,0.0,0.0003836661,9946.54753074646,0.0007500000000000001,0.00037586287
98,7972.967363357544,0.00025,0.0003325635,9958.812578582763,0.0,0.00043383436
99,7978.747752189636,0.0,0.00028974592,9971.077626419068,0.00025,0.0004990304
100,7984.5281410217285,0.0,0.00025389195,9983.342674255371,0.0005,0.0005710158
101,7990.308529853821,0.0,0.00022421601,9995.607722091674,0.0007499999999999999,0.0006492569
102,7996.088918685913,0.00025,0.0001996825,10007.872769927979,0.0005,0.0007326329
103,8001.869307518005,0.0,0.00017950572,10020.137817764282,0.0007499999999999999,0.0008199029
104,8007.649696350098,0.0,0.00016300718,10032.402865600587,0.0005,0.0009091306
105,8013.43008518219,0.0,0.00014961552,10044.66791343689,0.0005,0.000998474
106,8019.210474014282,0.0,0.00013875935,10056.932961273193,0.00175,0.0010856988
107,8024.9908628463745,0.0,0.00013004584,10069.198009109497,0.001,0.0011681318
108,8030.771251678467,0.0,0.00012301074,10081.4630569458,0.001,0.0012436166
109,8036.551640510559,0.0,0.00011743982,10093.728104782105,0.0005,0.0013095462
110,8042.332029342651,0.0,0.00011304736,10105.993152618408,0.0007500000000000001,0.0013638816
111,8048.112418174744,0.0,0.00010951195,10118.258200454711,0.00025,0.0014048357
112,8053.892807006836,0.0,0.00010679792,10130.523248291016,0.00175,0.0014306272
113,8059.673195838928,0.0,0.00010465525,10142.788296127319,0.0005,0.0014407875
114,8065.4535846710205,0.0,0.000102976825,10155.053343963624,0.001,0.001434491
115,8071.233973503113,0.0,0.00010172694,10167.318391799927,0.00175,0.0014123145
116,8077.014362335205,0.0,0.000100691315,10179.58343963623,0.0005,0.0013749854
